172,155,158;1f004
161,148,152;1f0cf
224,81,99;1f170
225,88,105;1f171
226,90,107;1f17e
71,127,169;1f17f
229,109,124;1f18e
227,98,114;1f191
85,151,201;1f192
101,160,206;1f193
175,143,216;1f194
96,157,204;1f195
107,164,208;1f196
103,162,207;1f197
226,92,109;1f198
95,157,204;1f199
244,175,83;1f19a
48,50,90;1f1e6-1f1e8
107,62,60;1f1e6-1f1e9
86,73,62;1f1e6-1f1ea
67,63,46;1f1e6-1f1eb
101,41,47;1f1e6-1f1ec
60,59,94;1f1e6-1f1ee
137,18,19;1f1e6-1f1f1
99,50,48;1f1e6-1f1f2
88,26,20;1f1e6-1f1f4
68,98,143;1f1e6-1f1f6
114,134,154;1f1e6-1f1f7
79,74,102;1f1e6-1f1f8
169,83,90;1f1e6-1f1f9
43,46,93;1f1e6-1f1fa
69,106,133;1f1e6-1f1fc
74,67,73;1f1e6-1f1fd
62,76,83;1f1e6-1f1ff
92,155,203;1f1e6
72,67,80;1f1e7-1f1e6
54,60,68;1f1e7-1f1e7
29,67,53;1f1e7-1f1e9
122,68,27;1f1e7-1f1ea
87,73,41;1f1e7-1f1eb
110,101,87;1f1e7-1f1ec
153,59,69;1f1e7-1f1ed
107,100,73;1f1e7-1f1ee
105,86,37;1f1e7-1f1ef
157,152,145;1f1e7-1f1f1
139,46,55;1f1e7-1f1f2
147,124,42;1f1e7-1f1f3
111,92,21;1f1e7-1f1f4
78,88,111;1f1e7-1f1f6
44,114,41;1f1e7-1f1f7
40,103,91;1f1e7-1f1f8
181,124,55;1f1e7-1f1f9
137,53,63;1f1e7-1f1fb
86,112,136;1f1e7-1f1fc
122,65,57;1f1e7-1f1fe
66,73,92;1f1e7-1f1ff
98,159,205;1f1e7
157,78,71;1f1e8-1f1e6
22,99,0;1f1e8-1f1e8
55,82,125;1f1e8-1f1e9
106,98,65;1f1e8-1f1eb
106,91,39;1f1e8-1f1ec
111,38,36;1f1e8-1f1ed
115,124,79;1f1e8-1f1ee
43,46,94;1f1e8-1f1f0
136,80,89;1f1e8-1f1f1
119,96,38;1f1e8-1f1f2
159,33,11;1f1e8-1f1f3
129,92,41;1f1e8-1f1f4
113,75,105;1f1e8-1f1f5
109,73,95;1f1e8-1f1f7
84,67,104;1f1e8-1f1fa
46,60,102;1f1e8-1f1fb
30,54,80;1f1e8-1f1fc
24,69,84;1f1e8-1f1fd
168,164,158;1f1e8-1f1fe
124,81,93;1f1e8-1f1ff
87,152,202;1f1e8
119,57,14;1f1e9-1f1ea
102,95,113;1f1e9-1f1ec
74,133,112;1f1e9-1f1ef
148,49,68;1f1e9-1f1f0
46,81,50;1f1e9-1f1f2
107,75,91;1f1e9-1f1f4
93,111,99;1f1e9-1f1ff
97,158,205;1f1e9
157,64,17;1f1ea-1f1e6
131,92,38;1f1ea-1f1e8
74,92,110;1f1ea-1f1ea
113,71,71;1f1ea-1f1ec
69,70,59;1f1ea-1f1ed
104,68,59;1f1ea-1f1f7
157,64,17;1f1ea-1f1f8
91,81,42;1f1ea-1f1f9
7,40,104;1f1ea-1f1fa
88,153,202;1f1ea
103,118,138;1f1eb-1f1ee
96,115,133;1f1eb-1f1ef
53,54,96;1f1eb-1f1f0
87,129,158;1f1eb-1f1f2
140,118,131;1f1eb-1f1f4
113,75,105;1f1eb-1f1f7
83,149,200;1f1eb
70,113,76;1f1ec-1f1e6
134,79,94;1f1ec-1f1e7
118,77,34;1f1ec-1f1e9
168,111,118;1f1ec-1f1ea
94,124,20;1f1ec-1f1eb
169,125,118;1f1ec-1f1ec
110,83,31;1f1ec-1f1ed
157,96,89;1f1ec-1f1ee
158,89,103;1f1ec-1f1f1
86,62,68;1f1ec-1f1f2
109,89,36;1f1ec-1f1f3
43,50,35;1f1ec-1f1f5
102,97,75;1f1ec-1f1f6
72,107,143;1f1ec-1f1f7
46,46,88;1f1ec-1f1f8
87,125,149;1f1ec-1f1f9
32,39,84;1f1ec-1f1fa
109,81,30;1f1ec-1f1fc
76,99,49;1f1ec-1f1fe
98,159,205;1f1ec
162,56,41;1f1ed-1f1f0
43,46,93;1f1ed-1f1f2
51,93,132;1f1ed-1f1f3
110,73,101;1f1ed-1f1f7
82,35,79;1f1ed-1f1f9
119,90,86;1f1ed-1f1fa
97,158,205;1f1ed
123,130,95;1f1ee-1f1e8
163,95,98;1f1ee-1f1e9
122,126,95;1f1ee-1f1ea
114,127,157;1f1ee-1f1f1
150,31,41;1f1ee-1f1f2
119,123,76;1f1ee-1f1f3
102,95,113;1f1ee-1f1f4
109,75,78;1f1ee-1f1f6
123,100,81;1f1ee-1f1f7
58,60,103;1f1ee-1f1f8
105,101,86;1f1ee-1f1f9
74,144,197;1f1ee
163,125,131;1f1ef-1f1ea
68,92,18;1f1ef-1f1f2
75,67,59;1f1ef-1f1f4
169,144,146;1f1ef-1f1f5
78,146,199;1f1ef
61,47,21;1f1f0-1f1ea
168,36,36;1f1f0-1f1ec
97,48,84;1f1f0-1f1ed
110,61,80;1f1f0-1f1ee
115,105,81;1f1f0-1f1f2
72,61,34;1f1f0-1f1f3
120,55,77;1f1f0-1f1f5
142,137,142;1f1f0-1f1f7
88,75,67;1f1f0-1f1fc
47,48,88;1f1f0-1f1fe
23,127,132;1f1f0-1f1ff
93,156,203;1f1f0
94,33,58;1f1f1-1f1e6
159,73,72;1f1f1-1f1e7
84,139,154;1f1f1-1f1e8
83,31,54;1f1f1-1f1ee
124,64,18;1f1f1-1f1f0
131,75,94;1f1f1-1f1f7
61,101,111;1f1f1-1f1f8
109,78,30;1f1f1-1f1f9
111,102,121;1f1f1-1f1fa
125,65,70;1f1f1-1f1fb
60,40,26;1f1f1-1f1fe
78,147,199;1f1f1
133,29,32;1f1f2-1f1e6
158,90,98;1f1f2-1f1e8
116,76,77;1f1f2-1f1e9
161,55,50;1f1f2-1f1ea
113,75,105;1f1f2-1f1eb
118,103,85;1f1f2-1f1ec
48,69,104;1f1f2-1f1ed
160,55,0;1f1f2-1f1f0
114,97,27;1f1f2-1f1f1
136,112,46;1f1f2-1f1f2
96,50,55;1f1f2-1f1f3
27,99,82;1f1f2-1f1f4
46,78,128;1f1f2-1f1f5
82,97,130;1f1f2-1f1f6
62,62,37;1f1f2-1f1f7
45,47,91;1f1f2-1f1f8
157,89,97;1f1f2-1f1f9
91,80,43;1f1f2-1f1fa
98,41,41;1f1f2-1f1fb
97,56,43;1f1f2-1f1fc
105,86,79;1f1f2-1f1fd
130,80,96;1f1f2-1f1fe
93,85,42;1f1f2-1f1ff
111,166,209;1f1f2
49,74,68;1f1f3-1f1e6
74,83,51;1f1f3-1f1e8
117,115,67;1f1f3-1f1ea
47,109,74;1f1f3-1f1eb
57,130,91;1f1f3-1f1ec
80,105,142;1f1f3-1f1ee
103,77,96;1f1f3-1f1f1
137,54,63;1f1f3-1f1f4
39,16,25;1f1f3-1f1f5
